res_id,name,locality,cuisines,average_cost_for_two,rating,votes
51008,The Only Place,Church Street,"Italian, American, Steak, Continental, BBQ, Salad",1000,4.2,2938
50699,Monsoon - The Park Bangalore,"The Park, MG Road","Italian, North Indian",3000,4.1,274
50472,Empire Restaurant,Church Street,"North Indian, Mughlai, South Indian, Chinese",750,4,3286
18148956,The Open Box,St. Marks Road,"European, North Indian, Mediterranean, Asian, Salad",1400,4.2,2290
60449,Truffles,St. Marks Road,"Cafe, American, Burger, Steak",900,4.4,1667
50318,Cubbon Pavilion - ITC Gardenia,ITC Gardenia,"European, Continental, Chinese, Thai",2500,4.3,689
51318,MTR 1924,St. Marks Road,South Indian,300,4.2,703
51040,Truffles,Koramangala 5th Block,"Cafe, American, Burger, Steak",900,4.7,14798
50709,Nagarjuna,Residency Road,"Andhra, Biryani",800,4.3,1796
52053,Feast - Sheraton Grand Bangalore Hotel at Brigade Gateway,Sheraton Grand Bangalore Hotel at Brigade Gateway,"North Indian, Continental",2000,4.3,968
55555,Bengaluru Baking Company - JW Marriott Bengaluru,"JW Marriott Bengaluru, Lavelle Road","Salad, Bakery, Cafe, Sandwich, Italian, Burger",1400,4.3,526
56803,Sunny's,Lavelle Road,"European, Italian, Seafood, Continental",2100,4.1,1343
18216660,Russh Gastropub,Church Street,"Continental, Italian, Burger",1100,4.2,1354
18287433,The Permit Room,Brigade Road,South Indian,1500,4.5,1610
57424,Sanchez,UB City,"Mexican, Tex-Mex",1500,4.3,1051
18580379,Double Decker,Brigade Road,"Continental, North Indian",1300,4.3,2741
18512406,Belgian Waffle Factory ,Brigade Road,Desserts,400,4.9,1749
52700,20 Feet High,"Amoeba Complex, Brigade Road","American, Continental, Steak, Salad",1000,4,940
50663,Mavalli Tiffin Room (MTR),Basavanagudi,South Indian,250,4.5,2926
50744,ASEAN - On The Edge,Barton Centre,"Asian, Thai",1800,4.5,875
51029,Toscano,UB City,"Italian, Salad",1500,4.4,1854
18727906,XOOX Brewmill,Koramangala 5th Block,"Modern Indian, European, Asian",2000,4.5,1647
57833,Big Pitcher,Old Airport Road,"American, Continental, North Indian, Mediterranean",1800,4.7,9320
51639,Meghana Foods,Residency Road,"Biryani, Andhra, North Indian, Seafood",600,4.3,2162
50471,Empire Restaurant,Shivajinagar,"North Indian, Mughlai, South Indian, Chinese",750,4.5,2716
50661,Matteo Coffea,Church Street,Cafe,600,4.4,2652
50407,Ebony,Barton Centre,"North Indian, South Indian",1500,4.3,3152
51065,Vidyarthi Bhavan,Basavanagudi,South Indian,150,4.4,4488
51655,Le Rock,Brigade Road,"Continental, Chinese",2000,4.1,1222
52058,The Persian Terrace - Sheraton Grand Bangalore Hotel at Brigade Gateway,Sheraton Grand Bangalore Hotel at Brigade Gateway,"Lebanese, Mediterranean, Afghan",2500,4.2,566
18582888,RockSalt,St. Marks Road,Modern Indian,1900,4.4,502
51671,Konark Vegetarian Restaurant,Residency Road,"North Indian, Chinese, Continental, South Indian, Street Food, Juices",500,4.1,1015
18705073,Laughing Llama Gastropub,Brigade Road,"Finger Food, Continental, Pizza",1600,4.2,415
51677,OKO - The Lalit Ashok Bangalore,"The Lalit Ashok Bangalore, Seshadripuram","Japanese, Asian",2200,4,208
52282,Indian Coffee House,Church Street,South Indian,200,4,1223
18385449,The London Curry House - The Royale Senate Hotel,Race Course Road,"Pizza, North Indian, Modern Indian",1300,4.5,4003
18551057,SkyDeck By Sherlock's,MG Road,"Continental, Chinese, Finger Food, North Indian",1500,4.2,1472
18627369,Biergarten,Koramangala 5th Block,"Continental, North Indian, Chinese, European, BBQ, Finger Food, Asian",2100,4.7,631
56649,Ministry of Food - Hilton Bangalore Embassy GolfLinks,"Hilton Bangalore Embassy GolfLinks, Domlur","North Indian, Asian, South Indian, Italian, European",3000,4.2,474
59869,Easy Tiger,Church Street,"Finger Food, Continental",1100,4.3,2282
50208,Harima,Residency Road,Japanese,2000,4.3,673
50048,Aqua - The Park Bangalore,"The Park, MG Road","North Indian, Mediterranean, Chinese",3000,4,197
50565,Karavalli - The Gateway Hotel,"The Gateway Hotel, Residency Road","Mangalorean, Konkan, Seafood, Kerala",3500,4.5,682
57750,Art of Delight,Residency Road,"Ice Cream, Desserts, Beverages",400,4.4,1916
53566,NoLimmits Lounge and Club,Brigade Road,"Chinese, Continental, North Indian",2000,4.1,2180
50742,Olive Bar And Kitchen,Richmond Road,"Mediterranean, European, Salad",1800,4.5,2219
18449975,The Rice Bowl,"Hotel Southern Star, Lavelle Road","Chinese, Momos",1300,4.3,512
